step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well,liquid_type_x,liquid_type_y,liquid_type
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,1,1,0.0,1,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,1,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,2,1,0.0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,3,1,0.0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,4,1,0.0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,5,1,0.0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,6,1,0.0,6,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,6,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,7,1,0.0,7,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,7,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,8,1,0.0,8,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,8,ivl_384_flat_v1_0001,19,water,,water
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,1,2,8.0,1,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,1,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,2,2,8.0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,3,2,8.0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,4,2,8.0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,5,2,8.0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,6,2,8.0,6,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,6,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,7,2,8.0,7,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,7,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,8,2,8.0,8,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,8,ivl_96_dw_v1_0001,1,imaging,,imaging
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,9,3,0.0,9,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,9,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,10,3,0.0,10,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,10,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,11,3,0.0,11,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,11,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,12,3,0.0,12,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,12,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,13,3,0.0,13,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,13,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,14,3,0.0,14,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,14,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,15,3,0.0,15,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,15,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,16,3,0.0,16,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,16,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,17,4,0.0,17,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,17,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,18,4,0.0,18,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,18,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,19,4,0.0,19,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,19,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,20,4,0.0,20,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,20,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,21,4,0.0,21,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,21,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,22,4,0.0,22,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,22,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,23,4,0.0,23,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,23,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,24,4,0.0,24,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,24,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,25,5,0.0,25,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,25,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,26,5,0.0,26,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,26,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,27,5,0.0,27,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,27,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,28,5,0.0,28,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,28,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,29,5,0.0,29,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,29,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,30,5,0.0,30,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,30,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,31,5,0.0,31,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,31,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,32,5,0.0,32,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,32,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,33,6,0.0,33,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,33,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,34,6,0.0,34,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,34,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,35,6,0.0,35,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,35,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,36,6,0.0,36,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,36,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,37,6,0.0,37,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,37,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,38,6,0.0,38,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,38,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,39,6,0.0,39,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,39,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,40,6,0.0,40,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,40,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,41,7,0.0,41,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,41,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS031,1,42,7,0.0,42,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,42,ivl_384_flat_v1_0001,17,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,43,7,0.0,43,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,43,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,44,7,0.0,44,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,44,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,45,7,0.0,45,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,45,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,46,7,0.0,46,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,46,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,47,7,0.0,47,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,47,ivl_384_flat_v1_0001,19,water,,water
Step1,3,5,1.0,ivl_tip50_water_Jet_Empty,2,CS034,1,48,7,0.0,48,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,48,ivl_384_flat_v1_0001,19,water,,water
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-N1,2,1,8,1.0,1,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,1,ivl_384_flat_v1_0001,1,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-P1,2,2,8,1.0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_384_flat_v1_0001,3,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-N1,2,3,8,1.0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_384_flat_v1_0001,5,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,D004-P1,2,4,8,1.0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_384_flat_v1_0001,7,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-N1,2,5,8,1.0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_384_flat_v1_0001,9,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,R007-P1,2,6,8,1.0,6,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,6,ivl_384_flat_v1_0001,11,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-N1,2,7,8,1.0,7,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,7,ivl_384_flat_v1_0001,1,pbst,,pbst
Step2,3,5,3.0,ivl_tip50_pbst_Jet_Empty,4,ABI-131-P1,2,8,8,1.0,8,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,8,ivl_384_flat_v1_0001,3,pbst,,pbst
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,9,9,10.0,9,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,9,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,10,9,10.0,10,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,10,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,11,9,10.0,11,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,11,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,12,9,10.0,12,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,12,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,13,9,10.0,13,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,13,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,14,9,10.0,14,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,14,ivl_96_dw_v1_0001,1,imaging,,imaging
Step3,3,5,5.0,ivl_tip50_imaging_Jet_Empty,6,camera,3,15,9,10.0,15,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,15,ivl_96_dw_v1_0001,1,imaging,,imaging
